# Created by CSS Data Browser Version 4.1.4.201507131348
# 
# Start Time : 2016-10-24 11:24:00.000 +0200
# End Time   : 2016-10-24 12:24:00.000 +0200
# Source     : Plot
# Format     : Decimal (6 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: STEAM:PNC:GetVolt
# Archives:
# 
# Channel: STEAM:PNC:GetCurr
# Archives:
# 

# Time	STEAM:PNC:GetVolt Value	Negative Error	Positive Error	Severity	Status	STEAM:PNC:GetCurr Value	Negative Error	Positive Error	Severity	Status
2016/10/24 11:24:43.927914026	4,477000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:24:44.320244951	4,511000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:24:45.320285527	4,477000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:24:45.927950381	4,477000	0	0	NONE	NO_ALARM	0,000100	0	0	NONE	NO_ALARM
2016/10/24 11:24:46.320271943	4,486000	0	0	NONE	NO_ALARM	0,000100	0	0	NONE	NO_ALARM
2016/10/24 11:24:46.927903674	4,486000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:24:47.320250511	4,483000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:24:48.320220940	4,455000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:24:48.930716003	4,455000	0	0	NONE	NO_ALARM	0,000900	0	0	NONE	NO_ALARM
2016/10/24 11:24:49.323052180	4,982000	0	0	NONE	NO_ALARM	0,000900	0	0	NONE	NO_ALARM
2016/10/24 11:24:49.927901111	4,982000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:24:50.320238895	5,013000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:24:50.927909193	5,013000	0	0	NONE	NO_ALARM	0,000900	0	0	NONE	NO_ALARM
2016/10/24 11:24:51.320243458	4,988000	0	0	NONE	NO_ALARM	0,000900	0	0	NONE	NO_ALARM
2016/10/24 11:24:51.927903447	4,988000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:24:52.320232472	5,010000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:24:52.927899660	5,010000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
